ano,crime,categoria,contra,total_crime,maximo,delegacia,endereco
2019,furtos_na_regiao,Patrimonio,Patrimonio,214011,13098,003 DP - Campos Elísios,"Campos Elísios, São Paulo, SP, Brasil"
2020,furtos_na_regiao,Patrimonio,Patrimonio,159593,8442,001 DP - Sé,"Sé, São Paulo, SP, Brasil"
2019,roubos,Patrimonio,Patrimonio,128054,4958,003 DP - Campos Elísios,"Campos Elísios, São Paulo, SP, Brasil"
2020,roubos,Patrimonio,Patrimonio,117019,4403,003 DP - Campos Elísios,"Campos Elísios, São Paulo, SP, Brasil"
2019,furto_de_veiculo,Patrimonio,Patrimonio,36350,1053,030 DP - Tatuapé,"Tatuapé, São Paulo, SP, Brasil"
2019,lesao_corporal_dolosa,Integridade_Fisica,Pessoa,29864,892,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2020,furto_de_veiculo,Patrimonio,Patrimonio,27035,870,030 DP - Tatuapé,"Tatuapé, São Paulo, SP, Brasil"
2020,lesao_corporal_dolosa,Integridade_Fisica,Pessoa,25758,812,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2019,roubo_de_veiculos,Patrimonio,Patrimonio,21293,1060,049 DP - São Mateus,"São Mateus, São Paulo, SP, Brasil"
2019,lesao_corporal_culposa_transito,Transito,Pessoa,14146,365,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2020,roubo_de_veiculos,Patrimonio,Patrimonio,14011,642,049 DP - São Mateus,"São Mateus, São Paulo, SP, Brasil"
2020,lesao_corporal_culposa_transito,Transito,Pessoa,9983,235,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2019,roubo_de_carga,Patrimonio,Patrimonio,3752,303,046 DP - Perus,"Perus, São Paulo, SP, Brasil"
2020,roubo_de_carga,Patrimonio,Patrimonio,2943,259,074 DP - Jaraguá,"Jaraguá, São Paulo, SP, Brasil"
2019,estupro_de_vulneravel,Sexual,Pessoa,1891,84,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2020,estupro_de_vulneravel,Sexual,Pessoa,1714,75,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2019,lesao_corporal_culposa,Integridade_Fisica,Pessoa,1319,59,4ª DDM - 4ª Seccional - Norte,
2020,lesao_corporal_culposa,Integridade_Fisica,Pessoa,996,67,042 DP - Parque São Lucas,"Parque São Lucas, São Paulo, SP, Brasil"
2019,estupro,Sexual,Pessoa,772,20,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2019,tentativa_de_homicidio,Vida,Pessoa,746,32,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2020,latrocinio,Vida,Pessoa,659,32,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2019,latrocinio,Vida,Pessoa,650,30,073 DP - Jaçanã,"Jaçanã, São Paulo, SP, Brasil"
2020,estupro,Sexual,Pessoa,604,19,101 DP - Jardim das Imbuias,"Jardim das Imbuias, São Paulo, SP, Brasil"
2020,tentativa_de_homicidio,Vida,Pessoa,590,27,047 DP - Capão Redondo,"Capão Redondo, São Paulo, SP, Brasil"
2019,homicidio_culposo_transito,Transito,Pessoa,421,28,046 DP - Perus,"Perus, São Paulo, SP, Brasil"
2020,homicidio_culposo_transito,Transito,Pessoa,393,22,073 DP - Jaçanã,"Jaçanã, São Paulo, SP, Brasil"
2020,lesao_coporal_seg_morte,Integridade_Fisica,Pessoa,32,3,064 DP - Cidade A E Carvalho,"Cidade A E Carvalho, São Paulo, SP, Brasil"
2019,homicidio_culposo,Vida,Pessoa,24,2,069 DP - Teotônio Vilela,"Teotônio Vilela, São Paulo, SP, Brasil"
2020,homicidio_culposo,Vida,Pessoa,22,4,093 DP - Jaguaré,"Jaguaré, São Paulo, SP, Brasil"
2019,lesao_coporal_seg_morte,Integridade_Fisica,Pessoa,22,4,077 DP - Santa Cecília,"Santa Cecília, São Paulo, SP, Brasil"
2020,roubo_banco,Patrimonio,Patrimonio,18,2,016 DP - Vila Clementino,"Vila Clementino, São Paulo, SP, Brasil"
2019,roubo_banco,Patrimonio,Patrimonio,13,2,014 DP - Pinheiros,"Pinheiros, São Paulo, SP, Brasil"
2020,homicidio_doloso_transito,Transito,Pessoa,7,2,044 DP - Guaianazes,"Guaianazes, São Paulo, SP, Brasil"
2019,homicidio_doloso_transito,Transito,Pessoa,3,2,062 DP - Ermelino Matarazzo,"Ermelino Matarazzo, São Paulo, SP, Brasil"
